No.,施設等の名称,住所,lat,lon,サービス開始日
1,中央図書館,埼玉県さいたま市浦和区東高砂町11-1,35.858694,139.659134,2018/9/4
2,東浦和図書館,埼玉県さいたま市緑区中尾1440-8,35.871745,139.685786,2018/9/4
3,与野図書館,埼玉県さいたま市中央区下落合5-11-11,35.885236,139.627124,2018/9/4
4,桜図書館,埼玉県さいたま市桜区道場4-3-1,35.856053,139.610229,2018/9/4
5,武蔵浦和図書館,埼玉県さいたま市南区別所7-20-1,35.845312,139.645361,2018/9/4
6,北浦和図書館,埼玉県さいたま市浦和区北浦和1-4-2,35.87483,139.646351,2018/9/4
7,大宮西部図書館,埼玉県さいたま市北区櫛引町2-499-1,35.919737,139.610358,2018/9/4
8,春野図書館,埼玉県さいたま市見沼区春野2-12-1,35.959106,139.660822,2018/9/4
9,岩槻図書館,埼玉県さいたま市岩槻区本町4-2-25,35.949161,139.697613,2018/9/4
10,南浦和図書館,埼玉県さいたま市南区根岸1-7-1,35.843489,139.663561,2018/9/4
11,七里図書館,埼玉県さいたま市見沼区大字大谷1210,35.921041,139.674347,2018/9/4
12,宮原図書館,埼玉県さいたま市北区吉野町2-195-1,35.958573,139.600761,2018/9/4
13,馬宮図書館,埼玉県さいたま市西区大字西遊馬533-1,35.905091,139.572728,2018/9/4
14,桜木図書館,埼玉県さいたま市大宮区桜木町1-10-18,35.90542,139.618766,2018/9/4
15,岩槻駅東口図書館,埼玉県さいたま市岩槻区本町3-1-1,35.950458,139.693877,2018/9/4
16,岩槻東部図書館,埼玉県さいたま市岩槻区東岩槻6-6,35.96204,139.716358,2018/9/4
17,片柳図書館,埼玉県さいたま市見沼区染谷3-147-1,35.909901,139.684055,2018/9/4
18,大宮西部図書館三橋分館,埼玉県さいたま市西区三橋6-642-4,35.917656,139.59196,2018/9/4
19,与野図書館西分館,埼玉県さいたま市中央区桜丘2-6-28,35.882189,139.61492,2018/9/4
20,桜図書館大久保東分館,埼玉県さいたま市桜区大字大久保領家131-6,35.86956,139.608243,2018/9/4
21,北図書館,埼玉県さいたま市北区宮原町1-852-1,35.93151,139.620229,2018/9/4
22,大宮駅東口駅前おもてなし公共スペース（OMテラス）,埼玉県さいたま市大宮区大門町1-74,35.905853,139.625435,2018/9/4
23,大宮盆栽美術館,埼玉県さいたま市北区土呂町2-24-3,35.928828,139.633129,2018/9/4
24,プラザノース,埼玉県さいたま市北区宮原町1-852-1,35.93151,139.620229,2018/9/4
25,大宮駅西口案内板（ペデストリアンデッキ2階正面）,埼玉県さいたま市大宮区錦町601,35.906139,139.624965,2018/9/4
26,大宮駅西口案内板（ペデストリアンデッキ2階そごう側）,埼玉県さいたま市大宮区錦町601,35.906139,139.624965,2018/9/4
27,大宮駅東口案内板,埼玉県さいたま市大宮区大門町1-92,35.9071,139.625129,2018/9/4
28,土呂駅東口案内版,埼玉県さいたま市北区土呂町2-11,35.931536,139.63227,2018/9/4
29,大宮公園駅前案内板,埼玉県さいたま市大宮区寿能町1-172-1,35.92352,139.632145,2018/9/4
30,大宮東図書館,埼玉県さいたま市見沼区堀崎町48-1,35.93485,139.657047,2019/3/20
31,東日本連携センター,埼玉県さいたま市大宮区大門町1-6-1,35.907286,139.625384,2019/3/28
32,与野南図書館,埼玉県さいたま市中央区大戸6-28-16,35.866864,139.633926,2019/4/1
33,大宮図書館,埼玉県さいたま市大宮区吉敷町1-124-1,35.901783,139.630635,2019/5/7
34,さいたま市立病院,埼玉県さいたま市緑区大字三室2460,35.891031,139.678839,2020/1/6
35,岩槻人形博物館,埼玉県さいたま市岩槻区本町6-1-1,35.950866,139.699946,2020/2/22
36,にぎわい交流館いわつき,埼玉県さいたま市岩槻区本町6-1-2,35.951033,139.69911,2020/2/22
37,宇宙劇場,埼玉県さいたま市大宮区錦町682-2,35.908119,139.621641,2020/6/1
38,さいたま新都心バスターミナル,埼玉県さいたま市大宮区北袋町1-603-1,35.893383,139.637527,2020/6/1
39,さいたま新都心駅前案内板（東西自由通路）,埼玉県さいたま市中央区上落合2,35.894044,139.633436,2020/8/21
40,さいたま新都心駅前案内板（けやきひろば）,埼玉県さいたま市新都心10,35.89327,139.6317,2020/8/21
41,さいたま市議会議会棟,埼玉県さいたま市浦和区常盤6-4-4,35.862041,139.64573,2021/6/3
