住所（所在地）,名称,種別,郵便番号,ＴＥＬ,ＦＡＸ,lat,lon
浦和区岸町4丁目1-29,さいたま市立高砂小学校,小学校,330-0064,048-829-2737,048-835-1260,35.8565402,139.6567957
浦和区常盤9丁目30-9,さいたま市立常盤小学校,小学校,330-0061,048-831-2349,048-835-1354,35.8687852,139.6431591
浦和区領家4丁目19-4,さいたま市立木崎小学校,小学校,330-0072,048-831-2281,048-835-1351,35.8828389,139.6528972
南区太田窪5丁目10-6,さいたま市立谷田小学校,小学校,336-0015,048-882-2980,048-811-1334,35.8563425,139.6779167
浦和区本太2丁目12-31,さいたま市立仲本小学校,小学校,330-0052,048-882-3008,048-811-1331,35.861645,139.6610407
浦和区本太2丁目26-25,さいたま市立本太小学校,小学校,330-0052,048-882-3007,048-811-1333,35.8652862,139.6575864
緑区三室1994,さいたま市立三室小学校,小学校,336-0911,048-874-1207,048-810-1122,35.8839859,139.6821945
緑区東浦和8丁目11-5,さいたま市立尾間木小学校,小学校,336-0926,048-873-6000,048-810-1121,35.8692123,139.6971483
南区白幡1丁目1-20,さいたま市立南浦和小学校,小学校,336-0022,048-861-3781,048-836-1585,35.8452633,139.6579715
南区別所2丁目5-34,さいたま市立浦和別所小学校,小学校,336-0021,048-862-2775,048-836-1584,35.849628,139.6481557
浦和区北浦和2丁目18-3,さいたま市立北浦和小学校,小学校,330-0074,048-831-2463,048-835-1352,35.8773737,139.6483223
浦和区常盤8丁目18-4,さいたま市立仲町小学校,小学校,330-0061,048-831-4781,048-835-1355,35.8641462,139.6405637
浦和区上木崎3丁目4-3,さいたま市立上木崎小学校,小学校,330-0071,048-831-3879,048-835-1350,35.8877089,139.6429528
浦和区岸町5丁目20-4,さいたま市立岸町小学校,小学校,330-0064,048-861-4320,048-836-1576,35.8510276,139.6502606
南区南浦和1丁目18-3,さいたま市立大谷場小学校,小学校,336-0017,048-882-2555,048-811-1326,35.8527792,139.6679633
桜区西堀7丁目21-1,さいたま市立土合小学校,小学校,338-0832,048-862-5156,048-836-1580,35.8578801,139.6270631
桜区五関21,さいたま市立大久保小学校,小学校,338-0815,048-854-7636,048-840-1425,35.8724273,139.5986255
緑区原山1丁目30-12,さいたま市立原山小学校,小学校,336-0931,048-882-7907,048-811-1332,35.8663979,139.6707648
浦和区領家7丁目2-1,さいたま市立針ヶ谷小学校,小学校,330-0072,048-831-9040,048-835-1356,35.8818921,139.6490582
南区大谷場2丁目13-54,さいたま市立大谷場東小学校,小学校,336-0016,048-882-4618,048-811-1327,35.8534017,139.6749531
緑区大門1189,さいたま市立大門小学校,小学校,336-0963,048-878-0024,048-812-1047,35.8807931,139.7335412
緑区上野田16,さいたま市立野田小学校,小学校,336-0977,048-878-0003,048-812-1048,35.9002314,139.7039548
南区曲本1丁目3-5,さいたま市立西浦和小学校,小学校,336-0033,048-862-3510,048-836-1581,35.8384836,139.6301684
南区辻6丁目3-28,さいたま市立辻小学校,小学校,336-0026,048-862-1072,048-836-1579,35.8332822,139.6583359
浦和区大東3丁目14-1,さいたま市立大東小学校,小学校,330-0043,048-886-7296,048-811-1330,35.8835214,139.6645276
南区文蔵5丁目16-29,さいたま市立文蔵小学校,小学校,336-0025,048-863-0721,048-836-1583,35.8351911,139.6739404
南区沼影2丁目8-36,さいたま市立沼影小学校,小学校,336-0027,048-863-0777,048-836-1582,35.8391289,139.6462743
南区広ヶ谷戸24,さいたま市立大谷口小学校,小学校,336-0041,048-887-2731,048-811-1325,35.8625114,139.6833135
桜区栄和1丁目7-1,さいたま市立栄和小学校,小学校,338-0823,048-853-4022,048-840-1427,35.8617584,139.6175204
緑区道祖土1丁目1-1,さいたま市立道祖土小学校,小学校,336-0907,048-885-2512,048-811-1328,35.874738,139.6688806
桜区田島10丁目12-1,さいたま市立田島小学校,小学校,338-0837,048-863-8122,048-836-1578,35.8377634,139.6233599
桜区大久保領家331,さいたま市立大久保東小学校,小学校,338-0826,048-852-3065,048-840-1426,35.8712917,139.6034359
南区別所7丁目14-28,さいたま市立浦和大里小学校,小学校,336-0021,048-864-6731,048-836-1575,35.844779,139.6436311
桜区新開2丁目18-1,さいたま市立新開小学校,小学校,338-0834,048-864-6741,048-836-1577,35.8509825,139.6182366
桜区神田541-1,さいたま市立神田小学校,小学校,338-0812,048-853-4377,048-840-1428,35.8751523,139.607354
緑区中尾2596-1,さいたま市立中尾小学校,小学校,336-0932,048-873-0216,048-810-1120,35.8680829,139.6826742
南区太田窪2500-1,さいたま市立善前小学校,小学校,336-0015,048-882-7871,048-811-1329,35.8531781,139.6860068
緑区東浦和6丁目12-3,さいたま市立大牧小学校,小学校,336-0926,048-874-3456,048-810-1124,35.8724897,139.7068465
桜区中島1丁目28-1,さいたま市立中島小学校,小学校,338-0822,048-854-9900,048-840-1429,35.8654134,139.6239382
緑区芝原2丁目5,さいたま市立芝原小学校,小学校,336-0917,048-873-4133,048-810-1123,35.8818243,139.6915416
浦和区針ヶ谷4丁目2-12,さいたま市立常盤北小学校,小学校,330-0075,048-825-6336,048-835-1353,35.878862,139.6390732
南区大谷口5437,さいたま市立向小学校,小学校,336-0042,048-874-1150,048-810-1326,35.8573114,139.6958644
大宮区大門町3丁目3,さいたま市立大宮小学校,小学校,330-0846,048-641-7051,048-645-1655,35.9066427,139.6300819
大宮区堀の内町3丁目145,さいたま市立大宮東小学校,小学校,330-0804,048-644-0311,048-645-4590,35.9139472,139.6356471
大宮区吉敷町3丁目87,さいたま市立大宮南小学校,小学校,330-0843,048-641-0339,048-641-0366,35.9008902,139.6338016
大宮区宮町3丁目84,さいたま市立大宮北小学校,小学校,330-0802,048-644-0123,048-644-5603,35.9116699,139.6271357
大宮区桜木町4丁目328-9,さいたま市立桜木小学校,小学校,330-0854,048-641-0276,048-645-5934,35.903571,139.6170936
大宮区三橋2丁目20,さいたま市立三橋小学校,小学校,330-0856,048-641-0792,048-644-7322,35.9039914,139.6043486
大宮区大成町2丁目282,さいたま市立大成小学校,小学校,330-0852,048-663-1007,048-663-9882,35.914945,139.6138608
北区東大成町2丁目12,さいたま市立東大成小学校,小学校,331-0814,048-663-3210,048-663-9883,35.9249602,139.6188557
北区日進町2丁目911,さいたま市立日進小学校,小学校,331-0823,048-663-6942,048-664-8988,35.9252012,139.6076042
北区日進町3丁目178,さいたま市立日進北小学校,小学校,331-0823,048-663-1842,048-663-9884,35.9368612,139.6039426
北区宮原町4丁目102-6,さいたま市立宮原小学校,小学校,331-0812,048-664-5153,048-664-8989,35.9490985,139.6061601
北区植竹町2丁目1,さいたま市立植竹小学校,小学校,331-0813,048-663-7627,048-663-9885,35.9300053,139.6257619
北区本郷町1,さいたま市立大砂土小学校,小学校,331-0802,048-663-7005,048-663-9886,35.9380076,139.6269762
見沼区大和田町2丁目998,さいたま市立大砂土東小学校,小学校,337-0053,048-684-8003,048-684-8965,35.937816,139.6469866
見沼区東大宮2丁目45,さいたま市立見沼小学校,小学校,337-0051,048-663-7342,048-663-9887,35.9488195,139.6326119
西区西大宮1丁目49-6,さいたま市立指扇小学校,小学校,331-0047,048-623-0133,048-624-2200,35.9227933,139.5729679
西区西遊馬189-1,さいたま市立馬宮東小学校,小学校,331-0061,048-624-4452,048-624-2247,35.9039345,139.5713645
西区飯田新田189-2,さいたま市立馬宮西小学校,小学校,331-0068,048-624-4041,048-624-2273,35.8862476,139.5595517
西区中野林225-1,さいたま市立植水小学校,小学校,331-0057,048-624-4235,048-624-2280,35.8944299,139.5947737
見沼区東新井244-1,さいたま市立片柳小学校,小学校,337-0032,048-683-3174,048-683-8971,35.910758,139.6702252
見沼区東宮下312,さいたま市立七里小学校,小学校,337-0012,048-683-3513,048-683-8993,35.9293773,139.6758898
見沼区春岡2丁目29-1,さいたま市立春岡小学校,小学校,337-0008,048-683-3281,048-683-8974,35.9495949,139.6622387
西区三橋5丁目1359,さいたま市立大宮西小学校,小学校,331-0052,048-624-0035,048-624-2316,35.9041791,139.5905271
西区飯田811,さいたま市立栄小学校,小学校,331-0058,048-623-0775,048-624-2336,35.9069567,139.5829522
北区別所町42-1,さいたま市立大宮別所小学校,小学校,331-0821,048-667-3633,048-667-8770,35.955147,139.5973356
大宮区天沼町2丁目1077,さいたま市立芝川小学校,小学校,330-0834,048-644-7544,048-644-5604,35.9052438,139.6444566
見沼区蓮沼1070,さいたま市立蓮沼小学校,小学校,337-0015,048-684-3678,048-684-8964,35.934316,139.6606086
大宮区上小町1337-1,さいたま市立上小小学校,小学校,330-0855,048-644-6251,048-644-5633,35.8966922,139.6166832
西区宮前町341,さいたま市立宮前小学校,小学校,331-0046,048-623-8121,048-624-2357,35.9231627,139.5943454
見沼区大谷18,さいたま市立大谷小学校,小学校,337-0014,048-685-8511,048-685-5137,35.9212036,139.6658947
見沼区島町533-2,さいたま市立島小学校,小学校,337-0006,048-685-0607,048-685-5187,35.9468495,139.6517828
西区中釘1506-1,さいたま市立指扇北小学校,小学校,331-0077,048-622-4131,048-624-2358,35.9335728,139.5719665
見沼区東宮下215-1,さいたま市立東宮下小学校,小学校,337-0012,048-685-3652,048-685-5119,35.9259145,139.6776449
北区今羽町628,さいたま市立泰平小学校,小学校,331-0801,048-651-5637,048-651-4831,35.9501991,139.6258542
見沼区東新井710-5,さいたま市立海老沼小学校,小学校,337-0032,048-686-2125,048-686-5350,35.9082327,139.6600122
見沼区春野1丁目10-1,さいたま市立春野小学校,小学校,337-0002,048-685-3055,048-685-3488,35.9567572,139.6674662
中央区本町東3丁目5-23,さいたま市立与野本町小学校,小学校,338-0003,048-852-4444,048-852-9223,35.8836821,139.6228486
中央区上落合4丁目14-24,さいたま市立上落合小学校,小学校,338-0001,048-852-5381,048-852-0150,35.8940704,139.6258448
中央区新中里1丁目6-28,さいたま市立大戸小学校,小学校,338-0011,048-831-3796,048-831-3589,35.8724274,139.6358656
中央区上落合1丁目7-33,さいたま市立下落合小学校,小学校,338-0001,048-852-2280,048-852-0188,35.8899203,139.6314716
中央区円阿弥4丁目3-7,さいたま市立与野西北小学校,小学校,338-0007,048-853-0109,048-853-6110,35.8876058,139.6079287
中央区鈴谷5丁目1-1,さいたま市立鈴谷小学校,小学校,338-0013,048-852-5675,048-852-1917,35.8713433,139.6314492
中央区本町東5丁目23-14,さいたま市立与野八幡小学校,小学校,338-0003,048-854-5561,048-854-5560,35.8909133,139.6220754
中央区大戸6丁目2-25,さいたま市立与野南小学校,小学校,338-0012,048-831-0157,048-831-0122,35.8666965,139.6357118
岩槻区本町5丁目6-45,さいたま市立岩槻小学校,小学校,339-0057,048-756-3341,048-758-7488,35.9536949,139.6985366
岩槻区仲町1丁目17-3,さいたま市立太田小学校,小学校,339-0054,048-756-0515,048-758-7487,35.9481443,139.704578
岩槻区大野島422-1,さいたま市立川通小学校,小学校,339-0018,048-799-1060,048-799-0424,35.9419524,139.7312004
岩槻区柏崎762,さいたま市立柏崎小学校,小学校,339-0045,048-798-3831,048-798-8672,35.9337231,139.7014645
岩槻区黒谷1353,さいたま市立和土小学校,小学校,339-0033,048-798-0208,048-798-8730,35.9261999,139.7206831
岩槻区尾ヶ崎1252,さいたま市立新和小学校,小学校,339-0027,048-798-0003,048-798-8732,35.9105858,139.7324384
岩槻区慈恩寺259,さいたま市立慈恩寺小学校,小学校,339-0009,048-794-1140,048-795-0377,35.9816894,139.7077972
岩槻区平林寺351,さいたま市立河合小学校,小学校,339-0076,048-756-2243,048-758-7492,35.9672515,139.6720618
岩槻区諏訪2丁目6-1,さいたま市立東岩槻小学校,小学校,339-0007,048-794-1584,048-795-0369,35.9702155,139.7093288
岩槻区岩槻6619,さいたま市立城北小学校,小学校,339-0061,048-757-5391,048-758-7491,35.9620449,139.6939101
岩槻区徳力136-4,さいたま市立徳力小学校,小学校,339-0004,048-794-2318,048-795-0376,35.9741308,139.7164774
岩槻区上里2丁目2,さいたま市立上里小学校,小学校,339-0006,048-794-2316,048-795-0378,35.9651552,139.7041699
岩槻区西原6-25,さいたま市立西原小学校,小学校,339-0081,048-757-2271,048-758-7489,35.9527001,139.6833046
岩槻区南下新井1191-1,さいたま市立城南小学校,小学校,339-0032,048-798-4811,048-798-8736,35.9359332,139.712631
南区辻8丁目7-32,さいたま市立辻南小学校,小学校,336-0026,048-839-3001,048-839-3002,35.8315171,139.6651876
北区宮原町3丁目902-4,さいたま市立つばさ小学校,小学校,331-0812,048-661-0283,048-653-4714,35.9335265,139.6105142
緑区美園5丁目33,さいたま市立美園小学校,小学校,336-0967,048-812-6611,048-878-6660,35.8906454,139.7353881
緑区美園2丁目12-11,さいたま市立美園北小学校,小学校,336-0967,048-812-2277,048-812-0808,35.901152,139.723611
